invoice_id,vendor_id,vendor_tenure_months,amount,invoice_date,po_match_status,variance_pct,is_duplicate_suspect,autonomy_tier,cost_manual_baseline,cost_with_agent
AP-600000,V1074,40,1016.62,2026-06-30,matched_exact,0.0,False,4,14.0,0.5
AP-600001,V1094,30,740.33,2026-06-25,matched_exact,0.0,False,4,14.0,0.5
AP-600002,V1105,46,11013.52,2026-06-03,matched_exact,0.0,False,3,14.0,2.0
AP-600003,V1122,93,3689.3,2026-06-12,no_po,,False,1,14.0,14.0
AP-600004,V1080,77,1634.58,2026-06-20,no_po,,False,1,14.0,14.0
AP-600005,V1034,14,277.77,2026-06-24,matched_exact,0.0,False,4,14.0,0.5
AP-600006,V1206,81,3409.92,2026-06-24,no_po,,False,1,14.0,14.0
AP-600007,V1168,55,8436.32,2026-06-25,matched_exact,0.0,False,4,14.0,0.5
AP-600008,V1008,92,14458.45,2026-06-02,matched_exact,0.0,False,3,14.0,2.0
AP-600009,V1141,75,2533.05,2026-06-07,matched_variance,7.2,False,2,14.0,8.0
AP-600010,V1145,72,2522.73,2026-06-26,matched_exact,0.0,False,4,14.0,0.5
AP-600011,V1199,38,1611.12,2026-06-18,matched_exact,0.0,False,4,14.0,0.5
AP-600012,V1108,22,9530.65,2026-06-30,matched_variance,8.3,False,2,14.0,8.0
AP-600013,V1020,70,10872.19,2026-06-27,matched_exact,0.0,False,3,14.0,2.0
AP-600014,V1013,77,347.43,2026-06-11,matched_variance,1.6,False,3,14.0,2.0
AP-600015,V1068,6,323.23,2026-06-30,matched_exact,0.0,False,4,14.0,0.5
AP-600016,V1182,51,3889.46,2026-06-19,matched_exact,0.0,False,4,14.0,0.5
AP-600017,V1219,10,4346.05,2026-06-23,no_po,,False,1,14.0,14.0
AP-600018,V1089,16,11470.63,2026-06-28,matched_exact,0.0,False,3,14.0,2.0
AP-600019,V1219,10,2015.53,2026-06-19,matched_variance,5.6,False,2,14.0,8.0
AP-600020,V1040,44,877.05,2026-06-15,matched_variance,1.0,False,3,14.0,2.0
AP-600021,V1067,20,1791.88,2026-06-06,matched_exact,0.0,False,4,14.0,0.5
AP-600022,V1198,75,959.98,2026-06-10,matched_exact,0.0,False,4,14.0,0.5
AP-600023,V1077,64,8726.14,2026-06-12,matched_exact,0.0,False,4,14.0,0.5
AP-600024,V1077,64,461.29,2026-06-05,matched_exact,0.0,False,4,14.0,0.5
AP-600025,V1100,24,1063.32,2026-06-24,matched_exact,0.0,False,4,14.0,0.5
AP-600026,V1193,81,2197.48,2026-06-08,matched_exact,0.0,False,4,14.0,0.5
AP-600027,V1164,47,413.66,2026-06-17,matched_variance,2.2,False,3,14.0,2.0
AP-600028,V1187,29,187.02,2026-06-26,matched_exact,0.0,False,4,14.0,0.5
AP-600029,V1060,70,9533.39,2026-06-03,matched_variance,5.8,False,2,14.0,8.0
AP-600030,V1068,6,4528.69,2026-06-16,matched_exact,0.0,False,4,14.0,0.5
AP-600031,V1054,92,4875.15,2026-06-16,matched_exact,0.0,True,1,14.0,14.0
AP-600032,V1042,25,1305.01,2026-06-15,matched_variance,1.2,False,3,14.0,2.0
AP-600033,V1162,59,1428.35,2026-06-14,matched_exact,0.0,False,4,14.0,0.5
AP-600034,V1186,62,2555.82,2026-06-23,matched_exact,0.0,False,4,14.0,0.5
AP-600035,V1091,73,1189.15,2026-06-23,matched_exact,0.0,False,4,14.0,0.5
AP-600036,V1192,74,11683.77,2026-06-27,matched_exact,0.0,False,3,14.0,2.0
AP-600037,V1063,4,2013.29,2026-06-30,matched_variance,1.3,False,2,14.0,8.0
AP-600038,V1005,24,1719.4,2026-06-12,no_po,,True,1,14.0,14.0
AP-600039,V1158,74,4517.2,2026-06-12,matched_exact,0.0,False,4,14.0,0.5
AP-600040,V1165,65,95.18,2026-06-25,matched_exact,0.0,False,4,14.0,0.5
AP-600041,V1191,92,1417.63,2026-06-25,no_po,,False,1,14.0,14.0
AP-600042,V1011,38,1399.55,2026-06-10,matched_exact,0.0,False,4,14.0,0.5
AP-600043,V1079,93,1429.86,2026-06-12,matched_exact,0.0,False,4,14.0,0.5
AP-600044,V1173,52,1393.71,2026-06-28,matched_exact,0.0,False,4,14.0,0.5
AP-600045,V1028,65,15441.25,2026-06-25,matched_exact,0.0,False,3,14.0,2.0
AP-600046,V1001,75,1115.57,2026-06-28,matched_exact,0.0,False,4,14.0,0.5
AP-600047,V1029,83,808.95,2026-06-18,matched_exact,0.0,False,4,14.0,0.5
AP-600048,V1054,92,498.51,2026-06-11,matched_exact,0.0,False,4,14.0,0.5
AP-600049,V1026,74,4840.17,2026-06-09,no_po,,False,1,14.0,14.0
AP-600050,V1002,61,1541.32,2026-06-10,matched_exact,0.0,False,4,14.0,0.5
AP-600051,V1032,20,908.81,2026-06-10,matched_exact,0.0,False,4,14.0,0.5
AP-600052,V1105,46,2497.13,2026-06-12,matched_exact,0.0,False,4,14.0,0.5
AP-600053,V1121,82,3236.87,2026-06-01,matched_exact,0.0,False,4,14.0,0.5
AP-600054,V1209,42,4272.29,2026-06-03,matched_variance,8.5,False,2,14.0,8.0
AP-600055,V1196,22,287.2,2026-06-25,matched_exact,0.0,False,4,14.0,0.5
AP-600056,V1038,18,1206.05,2026-06-18,matched_exact,0.0,False,4,14.0,0.5
AP-600057,V1138,5,2036.38,2026-06-24,matched_exact,0.0,False,2,14.0,8.0
AP-600058,V1023,58,12918.1,2026-06-07,matched_exact,0.0,False,3,14.0,2.0
AP-600059,V1061,9,769.83,2026-06-20,matched_exact,0.0,False,4,14.0,0.5
AP-600060,V1171,43,4742.71,2026-06-12,matched_exact,0.0,False,4,14.0,0.5
AP-600061,V1017,36,121.09,2026-06-10,matched_exact,0.0,False,4,14.0,0.5
AP-600062,V1192,74,558.63,2026-06-08,matched_exact,0.0,False,4,14.0,0.5
AP-600063,V1163,53,835.18,2026-06-06,no_po,,False,1,14.0,14.0
AP-600064,V1010,34,1196.15,2026-06-09,no_po,,False,1,14.0,14.0
AP-600065,V1000,6,2876.01,2026-06-15,matched_variance,2.5,False,3,14.0,2.0
AP-600066,V1212,25,1070.57,2026-06-11,matched_variance,7.9,False,2,14.0,8.0
AP-600067,V1019,76,876.12,2026-06-27,matched_exact,0.0,False,4,14.0,0.5
AP-600068,V1142,21,13580.72,2026-06-25,matched_exact,0.0,False,3,14.0,2.0
AP-600069,V1113,14,14539.84,2026-06-04,matched_exact,0.0,False,3,14.0,2.0
AP-600070,V1212,25,2541.46,2026-06-04,matched_exact,0.0,False,4,14.0,0.5
AP-600071,V1078,69,360.15,2026-06-29,matched_exact,0.0,False,4,14.0,0.5
AP-600072,V1128,66,817.45,2026-06-15,matched_exact,0.0,False,4,14.0,0.5
AP-600073,V1079,93,2221.88,2026-06-17,matched_exact,0.0,False,4,14.0,0.5
AP-600074,V1136,51,1175.7,2026-06-06,matched_exact,0.0,False,4,14.0,0.5
AP-600075,V1004,76,29512.03,2026-06-13,matched_exact,0.0,False,3,14.0,2.0
AP-600076,V1015,9,1355.54,2026-06-13,matched_exact,0.0,False,4,14.0,0.5
AP-600077,V1142,21,6709.95,2026-06-28,matched_exact,0.0,False,4,14.0,0.5
AP-600078,V1219,10,24951.3,2026-06-07,matched_exact,0.0,False,3,14.0,2.0
AP-600079,V1116,58,37645.08,2026-06-14,matched_exact,0.0,False,3,14.0,2.0
AP-600080,V1217,30,2676.08,2026-06-02,matched_exact,0.0,False,4,14.0,0.5
AP-600081,V1160,82,18361.6,2026-06-14,matched_exact,0.0,False,3,14.0,2.0
AP-600082,V1058,95,505.29,2026-06-04,matched_variance,2.9,False,3,14.0,2.0
AP-600083,V1043,34,15829.03,2026-06-24,matched_variance,6.5,False,2,14.0,8.0
AP-600084,V1134,95,3444.79,2026-06-26,matched_exact,0.0,False,4,14.0,0.5
AP-600085,V1216,25,1612.95,2026-06-25,matched_exact,0.0,False,4,14.0,0.5
AP-600086,V1014,18,2710.28,2026-06-07,matched_exact,0.0,False,4,14.0,0.5
AP-600087,V1145,72,139.81,2026-06-14,matched_exact,0.0,False,4,14.0,0.5
AP-600088,V1203,37,948.91,2026-06-18,matched_variance,5.0,False,3,14.0,2.0
AP-600089,V1166,6,1209.75,2026-06-25,matched_exact,0.0,False,4,14.0,0.5
AP-600090,V1158,74,11684.04,2026-06-25,matched_exact,0.0,False,3,14.0,2.0
AP-600091,V1188,77,3552.66,2026-06-07,matched_exact,0.0,False,4,14.0,0.5
AP-600092,V1141,75,2247.6,2026-06-08,matched_variance,0.6,False,3,14.0,2.0
AP-600093,V1189,12,5736.69,2026-06-06,matched_exact,0.0,False,4,14.0,0.5
AP-600094,V1198,75,1035.87,2026-06-23,matched_exact,0.0,False,4,14.0,0.5
AP-600095,V1165,65,665.01,2026-06-15,matched_exact,0.0,False,4,14.0,0.5
AP-600096,V1185,27,300.22,2026-06-07,no_po,,False,1,14.0,14.0
AP-600097,V1013,77,635.11,2026-06-16,no_po,,False,1,14.0,14.0
AP-600098,V1162,59,10136.67,2026-06-29,matched_exact,0.0,False,3,14.0,2.0
AP-600099,V1159,31,914.05,2026-06-14,matched_exact,0.0,False,4,14.0,0.5
AP-600100,V1087,45,531.89,2026-06-06,matched_exact,0.0,False,4,14.0,0.5
AP-600101,V1150,27,10931.81,2026-06-10,matched_exact,0.0,False,3,14.0,2.0
AP-600102,V1176,24,1133.53,2026-06-08,matched_variance,6.8,False,2,14.0,8.0
AP-600103,V1211,7,2644.13,2026-06-03,matched_variance,6.2,False,2,14.0,8.0
AP-600104,V1065,78,2898.88,2026-06-19,matched_exact,0.0,False,4,14.0,0.5
AP-600105,V1218,2,9138.9,2026-06-06,matched_exact,0.0,False,2,14.0,8.0
AP-600106,V1076,79,6188.46,2026-06-28,matched_exact,0.0,False,4,14.0,0.5
AP-600107,V1014,18,4828.58,2026-06-06,no_po,,False,1,14.0,14.0
AP-600108,V1081,20,1986.59,2026-06-11,matched_exact,0.0,False,4,14.0,0.5
AP-600109,V1081,20,833.98,2026-06-06,matched_exact,0.0,False,4,14.0,0.5
AP-600110,V1004,76,3887.75,2026-06-09,matched_exact,0.0,False,4,14.0,0.5
AP-600111,V1213,35,3210.52,2026-06-17,matched_exact,0.0,False,4,14.0,0.5
AP-600112,V1062,36,3252.13,2026-06-24,matched_exact,0.0,False,4,14.0,0.5
AP-600113,V1086,71,1119.29,2026-06-12,matched_exact,0.0,False,4,14.0,0.5
AP-600114,V1171,43,1358.3,2026-06-30,matched_exact,0.0,False,4,14.0,0.5
AP-600115,V1043,34,203.0,2026-06-17,matched_variance,0.6,False,3,14.0,2.0
AP-600116,V1203,37,250.19,2026-06-06,matched_exact,0.0,False,4,14.0,0.5
AP-600117,V1129,4,33034.44,2026-06-17,no_po,,False,1,14.0,14.0
AP-600118,V1071,26,27964.86,2026-06-23,no_po,,False,1,14.0,14.0
AP-600119,V1147,29,2624.82,2026-06-27,matched_exact,0.0,False,4,14.0,0.5
AP-600120,V1102,94,7597.56,2026-06-03,matched_exact,0.0,False,4,14.0,0.5
AP-600121,V1095,43,518.43,2026-06-01,matched_exact,0.0,False,4,14.0,0.5
