task_id,complexity,phase,model,iteration_loops,input_tokens,output_tokens,total_tokens,cost_usd
T-001,5,Spec,frontier,0,56716,24307,81023,0.5348
T-001,5,Plan,frontier,0,67371,28874,96245,0.6352
T-001,5,Implement,frontier,0,130792,56055,186847,1.2332
T-001,5,Test,frontier,0,78094,33469,111563,0.7363
T-001,5,Review,frontier,0,184924,79254,264178,1.7436
T-001,5,Debug,frontier,2,194589,83396,277985,1.8347
T-002,1,Spec,efficient,0,585,251,836,0.0005
T-002,1,Plan,frontier,0,798,342,1140,0.0075
T-002,1,Implement,frontier,0,1456,625,2081,0.0137
T-002,1,Test,frontier,0,902,388,1290,0.0085
T-002,1,Review,frontier,2,3339,1432,4771,0.0315
T-002,1,Debug,frontier,2,1757,753,2510,0.0166
T-003,3,Spec,frontier,0,14112,6048,20160,0.1331
T-003,3,Plan,frontier,0,17348,7435,24783,0.1636
T-003,3,Implement,frontier,0,38092,16326,54418,0.3592
T-003,3,Test,frontier,0,22209,9519,31728,0.2094
T-003,3,Review,frontier,1,71866,30800,102666,0.6776
T-003,3,Debug,frontier,1,32678,14006,46684,0.3081
T-004,3,Spec,frontier,0,14508,6218,20726,0.1368
T-004,3,Plan,frontier,0,17172,7360,24532,0.1619
T-004,3,Implement,frontier,0,38875,16661,55536,0.3665
T-004,3,Test,frontier,0,22239,9532,31771,0.2097
T-004,3,Review,frontier,3,104374,44733,149107,0.9841
T-004,3,Debug,frontier,0,31535,13516,45051,0.2973
T-005,5,Spec,frontier,0,56174,24075,80249,0.5296
T-005,5,Plan,frontier,0,64878,27805,92683,0.6117
T-005,5,Implement,frontier,0,154320,66138,220458,1.455
T-005,5,Test,frontier,0,83199,35658,118857,0.7845
T-005,5,Review,frontier,3,391671,167860,559531,3.6929
T-005,5,Debug,frontier,0,114320,48995,163315,1.0779
T-006,2,Spec,efficient,0,4743,2033,6776,0.0037
T-006,2,Plan,frontier,0,5198,2229,7427,0.049
T-006,2,Implement,frontier,0,10285,4408,14693,0.097
T-006,2,Test,frontier,0,6706,2874,9580,0.0632
T-006,2,Review,frontier,2,27238,11674,38912,0.2568
T-006,2,Debug,frontier,0,8982,3850,12832,0.0847
T-007,5,Spec,frontier,0,56415,24179,80594,0.5319
T-007,5,Plan,frontier,0,65429,28042,93471,0.6169
T-007,5,Implement,frontier,0,132821,56924,189745,1.2523
T-007,5,Test,frontier,0,81521,34938,116459,0.7686
T-007,5,Review,frontier,2,320278,137262,457540,3.0198
T-007,5,Debug,frontier,2,182644,78276,260920,1.7221
T-008,3,Spec,frontier,0,14739,6318,21057,0.139
T-008,3,Plan,frontier,0,16074,6890,22964,0.1516
T-008,3,Implement,frontier,0,41134,17629,58763,0.3878
T-008,3,Test,frontier,0,22811,9777,32588,0.2151
T-008,3,Review,frontier,2,85103,36473,121576,0.8024
T-008,3,Debug,frontier,1,33604,14402,48006,0.3168
T-009,1,Spec,efficient,0,641,276,917,0.0005
T-009,1,Plan,frontier,0,669,288,957,0.0063
T-009,1,Implement,frontier,0,1321,567,1888,0.0125
T-009,1,Test,frontier,0,856,368,1224,0.0081
T-009,1,Review,frontier,3,4008,1719,5727,0.0378
T-009,1,Debug,frontier,1,1533,658,2191,0.0145
T-010,5,Spec,frontier,0,60773,26047,86820,0.573
T-010,5,Plan,frontier,0,70508,30218,100726,0.6648
T-010,5,Implement,frontier,0,122210,52377,174587,1.1523
T-010,5,Test,frontier,0,92598,39685,132283,0.8731
T-010,5,Review,frontier,0,145790,62482,208272,1.3746
T-010,5,Debug,frontier,0,95372,40875,136247,0.8992
T-011,1,Spec,efficient,0,557,239,796,0.0004
T-011,1,Plan,frontier,0,597,256,853,0.0056
T-011,1,Implement,frontier,0,1395,599,1994,0.0132
T-011,1,Test,frontier,0,865,371,1236,0.0082
T-011,1,Review,frontier,2,3388,1453,4841,0.032
T-011,1,Debug,frontier,0,1172,503,1675,0.0111
T-012,5,Spec,frontier,0,49340,21147,70487,0.4652
T-012,5,Plan,frontier,0,77064,33028,110092,0.7266
T-012,5,Implement,frontier,0,147826,63354,211180,1.3938
T-012,5,Test,frontier,0,85052,36452,121504,0.8019
T-012,5,Review,frontier,0,178244,76391,254635,1.6806
T-012,5,Debug,frontier,1,155027,66441,221468,1.4617
T-013,5,Spec,frontier,0,56053,24023,80076,0.5285
T-013,5,Plan,frontier,0,74454,31909,106363,0.702
T-013,5,Implement,frontier,0,121169,51930,173099,1.1425
T-013,5,Test,frontier,0,84476,36205,120681,0.7965
T-013,5,Review,frontier,0,165141,70775,235916,1.557
T-013,5,Debug,frontier,1,148777,63762,212539,1.4028
T-014,1,Spec,frontier,0,577,248,825,0.0055
T-014,1,Plan,efficient,0,726,312,1038,0.0006
T-014,1,Implement,frontier,0,1465,628,2093,0.0138
T-014,1,Test,frontier,0,798,343,1141,0.0075
T-014,1,Review,frontier,3,4320,1852,6172,0.0407
T-014,1,Debug,frontier,0,979,421,1400,0.0093
T-015,2,Spec,frontier,0,3920,1681,5601,0.037
T-015,2,Plan,frontier,0,5149,2207,7356,0.0486
T-015,2,Implement,frontier,0,11735,5030,16765,0.1107
T-015,2,Test,frontier,0,7487,3210,10697,0.0706
T-015,2,Review,frontier,0,13391,5739,19130,0.1263
T-015,2,Debug,frontier,2,13503,5787,19290,0.1273
T-016,2,Spec,frontier,0,3966,1700,5666,0.0374
T-016,2,Plan,frontier,0,6136,2631,8767,0.0579
T-016,2,Implement,frontier,0,11395,4884,16279,0.1074
T-016,2,Test,frontier,0,7643,3277,10920,0.0721
T-016,2,Review,frontier,2,28186,12081,40267,0.2658
T-016,2,Debug,frontier,2,15948,6835,22783,0.1504
T-017,1,Spec,frontier,0,585,251,836,0.0055
T-017,1,Plan,efficient,0,771,331,1102,0.0006
T-017,1,Implement,frontier,0,1479,634,2113,0.0139
T-017,1,Test,frontier,0,865,372,1237,0.0082
T-017,1,Review,frontier,0,1702,730,2432,0.0161
T-017,1,Debug,frontier,0,923,397,1320,0.0087
T-018,2,Spec,efficient,0,5102,2187,7289,0.004
T-018,2,Plan,frontier,0,4950,2122,7072,0.0467
T-018,2,Implement,frontier,0,9858,4226,14084,0.093
T-018,2,Test,frontier,0,6250,2679,8929,0.0589
T-018,2,Review,frontier,1,22823,9782,32605,0.2152
T-018,2,Debug,frontier,0,8616,3693,12309,0.0812
T-019,2,Spec,efficient,0,4705,2017,6722,0.0037
T-019,2,Plan,frontier,0,6086,2609,8695,0.0574
T-019,2,Implement,frontier,0,10136,4345,14481,0.0956
T-019,2,Test,frontier,0,7240,3103,10343,0.0683
T-019,2,Review,frontier,0,14227,6098,20325,0.1342
T-019,2,Debug,frontier,0,8243,3534,11777,0.0777
T-020,2,Spec,frontier,0,4858,2082,6940,0.0458
T-020,2,Plan,frontier,0,4832,2071,6903,0.0456
T-020,2,Implement,frontier,0,9622,4124,13746,0.0907
T-020,2,Test,frontier,0,5954,2552,8506,0.0561
T-020,2,Review,frontier,1,20091,8611,28702,0.1894
T-020,2,Debug,frontier,0,7984,3422,11406,0.0753
T-021,3,Spec,frontier,0,17196,7370,24566,0.1621
T-021,3,Plan,frontier,0,21373,9161,30534,0.2015
T-021,3,Implement,frontier,0,32967,14130,47097,0.3109
T-021,3,Test,frontier,0,25083,10751,35834,0.2365
T-021,3,Review,frontier,2,80828,34641,115469,0.7621
T-021,3,Debug,frontier,2,52697,22585,75282,0.4969
T-022,2,Spec,frontier,0,4772,2046,6818,0.045
T-022,2,Plan,frontier,0,6188,2653,8841,0.0584
T-022,2,Implement,frontier,0,10445,4477,14922,0.0985
T-022,2,Test,frontier,0,6978,2991,9969,0.0658
T-022,2,Review,frontier,2,28508,12219,40727,0.2688
T-022,2,Debug,frontier,0,8810,3776,12586,0.0831
T-023,3,Spec,frontier,0,13584,5822,19406,0.1281
T-023,3,Plan,frontier,0,19180,8220,27400,0.1808
T-023,3,Implement,frontier,0,37367,16015,53382,0.3523
T-023,3,Test,frontier,0,23204,9945,33149,0.2188
T-023,3,Review,frontier,1,71429,30613,102042,0.6735
T-023,3,Debug,frontier,1,38257,16396,54653,0.3607
T-024,5,Spec,frontier,0,49172,21074,70246,0.4636
T-024,5,Plan,frontier,0,63728,27313,91041,0.6009
T-024,5,Implement,frontier,0,130209,55805,186014,1.2277
T-024,5,Test,frontier,0,88368,37873,126241,0.8332
