date,store_id,region,sku_id,sku_category,units_demand,units_sold,units_on_hand_eod,stockout_flag,replenishment_lead_time_days,demand_variance_tier
2025-10-01,S01,North,SKU-1001,Footwear-Running,10,10,100,0,3,medium
2025-10-02,S01,North,SKU-1001,Footwear-Running,9,9,91,0,3,medium
2025-10-03,S01,North,SKU-1001,Footwear-Running,10,10,81,0,3,medium
2025-10-04,S01,North,SKU-1001,Footwear-Running,18,18,63,0,3,medium
2025-10-05,S01,North,SKU-1001,Footwear-Running,17,17,46,0,3,medium
2025-10-06,S01,North,SKU-1001,Footwear-Running,13,13,33,0,3,medium
2025-10-07,S01,North,SKU-1001,Footwear-Running,13,13,20,0,3,medium
2025-10-08,S01,North,SKU-1001,Footwear-Running,19,19,1,0,3,medium
2025-10-09,S01,North,SKU-1001,Footwear-Running,9,9,124,0,3,medium
2025-10-10,S01,North,SKU-1001,Footwear-Running,9,9,115,0,3,medium
2025-10-11,S01,North,SKU-1001,Footwear-Running,11,11,104,0,3,medium
2025-10-12,S01,North,SKU-1001,Footwear-Running,19,19,85,0,3,medium
2025-10-13,S01,North,SKU-1001,Footwear-Running,15,15,70,0,3,medium
2025-10-14,S01,North,SKU-1001,Footwear-Running,11,11,59,0,3,medium
2025-10-15,S01,North,SKU-1001,Footwear-Running,8,8,51,0,3,medium
2025-10-16,S01,North,SKU-1001,Footwear-Running,8,8,43,0,3,medium
2025-10-17,S01,North,SKU-1001,Footwear-Running,14,14,29,0,3,medium
2025-10-18,S01,North,SKU-1001,Footwear-Running,19,19,10,0,3,medium
2025-10-19,S01,North,SKU-1001,Footwear-Running,18,18,124,0,3,medium
2025-10-20,S01,North,SKU-1001,Footwear-Running,8,8,116,0,3,medium
2025-10-21,S01,North,SKU-1001,Footwear-Running,12,12,104,0,3,medium
2025-10-22,S01,North,SKU-1001,Footwear-Running,11,11,93,0,3,medium
2025-10-23,S01,North,SKU-1001,Footwear-Running,12,12,81,0,3,medium
2025-10-24,S01,North,SKU-1001,Footwear-Running,14,14,67,0,3,medium
2025-10-25,S01,North,SKU-1001,Footwear-Running,17,17,50,0,3,medium
2025-10-26,S01,North,SKU-1001,Footwear-Running,19,19,31,0,3,medium
2025-10-27,S01,North,SKU-1001,Footwear-Running,11,11,20,0,3,medium
2025-10-28,S01,North,SKU-1001,Footwear-Running,12,12,8,0,3,medium
2025-10-29,S01,North,SKU-1001,Footwear-Running,13,13,127,0,3,medium
2025-10-30,S01,North,SKU-1001,Footwear-Running,5,5,122,0,3,medium
2025-10-31,S01,North,SKU-1001,Footwear-Running,10,10,112,0,3,medium
2025-11-01,S01,North,SKU-1001,Footwear-Running,13,13,99,0,3,medium
2025-11-02,S01,North,SKU-1001,Footwear-Running,12,12,87,0,3,medium
2025-11-03,S01,North,SKU-1001,Footwear-Running,10,10,77,0,3,medium
2025-11-04,S01,North,SKU-1001,Footwear-Running,17,17,60,0,3,medium
2025-11-05,S01,North,SKU-1001,Footwear-Running,8,8,52,0,3,medium
2025-11-06,S01,North,SKU-1001,Footwear-Running,15,15,37,0,3,medium
2025-11-07,S01,North,SKU-1001,Footwear-Running,5,5,32,0,3,medium
2025-11-08,S01,North,SKU-1001,Footwear-Running,14,14,18,0,3,medium
2025-11-09,S01,North,SKU-1001,Footwear-Running,16,16,134,0,3,medium
2025-11-10,S01,North,SKU-1001,Footwear-Running,13,13,121,0,3,medium
2025-11-11,S01,North,SKU-1001,Footwear-Running,14,14,107,0,3,medium
2025-11-12,S01,North,SKU-1001,Footwear-Running,14,14,93,0,3,medium
2025-11-13,S01,North,SKU-1001,Footwear-Running,10,10,83,0,3,medium
2025-11-14,S01,North,SKU-1001,Footwear-Running,9,9,74,0,3,medium
2025-11-15,S01,North,SKU-1001,Footwear-Running,20,20,54,0,3,medium
2025-11-16,S01,North,SKU-1001,Footwear-Running,14,14,40,0,3,medium
2025-11-17,S01,North,SKU-1001,Footwear-Running,6,6,34,0,3,medium
2025-11-18,S01,North,SKU-1001,Footwear-Running,7,7,27,0,3,medium
2025-11-19,S01,North,SKU-1001,Footwear-Running,7,7,152,0,3,medium
2025-11-20,S01,North,SKU-1001,Footwear-Running,13,13,139,0,3,medium
2025-11-21,S01,North,SKU-1001,Footwear-Running,12,12,127,0,3,medium
2025-11-22,S01,North,SKU-1001,Footwear-Running,19,19,108,0,3,medium
2025-11-23,S01,North,SKU-1001,Footwear-Running,13,13,95,0,3,medium
2025-11-24,S01,North,SKU-1001,Footwear-Running,12,12,83,0,3,medium
2025-11-25,S01,North,SKU-1001,Footwear-Running,13,13,70,0,3,medium
2025-11-26,S01,North,SKU-1001,Footwear-Running,10,10,60,0,3,medium
2025-11-27,S01,North,SKU-1001,Footwear-Running,13,13,47,0,3,medium
2025-11-28,S01,North,SKU-1001,Footwear-Running,8,8,39,0,3,medium
2025-11-29,S01,North,SKU-1001,Footwear-Running,13,13,26,0,3,medium
2025-11-30,S01,North,SKU-1001,Footwear-Running,13,13,13,0,3,medium
2025-12-01,S01,North,SKU-1001,Footwear-Running,8,8,137,0,3,medium
2025-12-02,S01,North,SKU-1001,Footwear-Running,17,17,120,0,3,medium
2025-12-03,S01,North,SKU-1001,Footwear-Running,12,12,108,0,3,medium
2025-12-04,S01,North,SKU-1001,Footwear-Running,14,14,94,0,3,medium
2025-12-05,S01,North,SKU-1001,Footwear-Running,17,17,77,0,3,medium
2025-12-06,S01,North,SKU-1001,Footwear-Running,23,23,54,0,3,medium
2025-12-07,S01,North,SKU-1001,Footwear-Running,25,25,29,0,3,medium
2025-12-08,S01,North,SKU-1001,Footwear-Running,14,14,15,0,3,medium
2025-12-09,S01,North,SKU-1001,Footwear-Running,12,12,3,0,3,medium
2025-12-10,S01,North,SKU-1001,Footwear-Running,14,14,121,0,3,medium
2025-12-11,S01,North,SKU-1001,Footwear-Running,6,6,115,0,3,medium
2025-12-12,S01,North,SKU-1001,Footwear-Running,7,7,108,0,3,medium
2025-12-13,S01,North,SKU-1001,Footwear-Running,11,11,97,0,3,medium
2025-12-14,S01,North,SKU-1001,Footwear-Running,13,13,84,0,3,medium
2025-12-15,S01,North,SKU-1001,Footwear-Running,16,16,68,0,3,medium
2025-12-16,S01,North,SKU-1001,Footwear-Running,10,10,58,0,3,medium
2025-12-17,S01,North,SKU-1001,Footwear-Running,12,12,46,0,3,medium
2025-12-18,S01,North,SKU-1001,Footwear-Running,21,21,25,0,3,medium
2025-12-19,S01,North,SKU-1001,Footwear-Running,13,13,12,0,3,medium
2025-12-20,S01,North,SKU-1001,Footwear-Running,25,12,0,1,3,medium
2025-12-21,S01,North,SKU-1001,Footwear-Running,13,13,119,0,3,medium
2025-12-22,S01,North,SKU-1001,Footwear-Running,13,13,106,0,3,medium
2025-12-23,S01,North,SKU-1001,Footwear-Running,10,10,96,0,3,medium
2025-12-24,S01,North,SKU-1001,Footwear-Running,13,13,83,0,3,medium
