invoice_id,vendor_id,vendor_name,po_number,amount,invoice_date,received_date,match_status,payment_status,payment_date,duplicate_flag,is_true_duplicate_pair
INV-500444,V136,Vendor K1,PO-94605,1444.82,2026-03-08,2026-03-10,matched,paid,2026-03-13,0,no
INV-500344,V104,Vendor E,PO-90149,11846.31,2026-03-04,2026-03-05,matched,paid,2026-03-13,0,no
INV-500047,V144,Vendor S1,PO-64739,18959.29,2026-03-04,2026-03-06,matched,paid,2026-03-13,0,no
INV-500067,V106,Vendor G,PO-45628,31818.03,2026-03-24,2026-03-25,matched,paid,2026-03-31,0,no
INV-500363,V143,Vendor R1,PO-22203,4269.33,2026-03-21,2026-03-22,matched,paid,2026-03-26,0,no
INV-500132,V142,Vendor Q1,PO-83179,32026.47,2026-03-17,2026-03-19,matched,paid,2026-03-20,0,no
INV-500293,V104,Vendor E,PO-51523,38594.38,2026-04-12,2026-04-12,matched,paid,2026-04-21,0,no
INV-500031,V114,Vendor O,PO-95668,28622.16,2026-04-26,2026-04-28,matched,paid,2026-05-02,0,no
INV-500218,V159,Vendor H2,PO-12952,13360.3,2026-03-01,2026-03-01,matched,paid,2026-03-08,0,no
INV-500090,V128,Vendor C1,PO-63603,24605.59,2026-04-02,2026-04-03,matched,paid,2026-04-08,0,no
INV-500483,V117,Vendor R,PO-69676,6813.13,2026-03-25,2026-03-27,matched,paid,2026-04-03,0,no
INV-500345,V119,Vendor T,PO-42284,17128.93,2026-04-04,2026-04-04,matched,paid,2026-04-12,0,no
INV-500119,V101,Vendor B,PO-97894,9432.36,2026-03-11,2026-03-12,matched,paid,2026-03-17,0,no
INV-500066,V121,Vendor V,PO-11622,17120.8,2026-03-29,2026-03-31,matched,paid,2026-04-02,0,no
INV-500420,V120,Vendor U,PO-66589,27890.51,2026-03-26,2026-03-27,matched,paid,2026-04-02,0,no
INV-500328,V120,Vendor U,PO-69136,34074.04,2026-03-30,2026-03-30,matched,paid,2026-04-02,0,no
