return_id,customer_id,item_category,return_amount,return_date,auto_approved,review_flag
RET-900833,CUST-12623,accessories,101.21,2026-04-04,1,0
RET-901826,CUST-10664,accessories,53.35,2026-04-30,1,0
RET-902247,CUST-12899,footwear,14.85,2026-04-26,1,0
RET-901972,CUST-12677,accessories,64.78,2026-04-18,1,0
RET-902296,CUST-12915,accessories,74.26,2026-04-18,1,0
RET-901541,CUST-10527,footwear,64.99,2026-05-06,1,0
RET-900909,CUST-10006,accessories,18.6,2026-04-06,1,0
RET-900280,CUST-10425,apparel,81.01,2026-05-01,1,0
RET-900886,CUST-11737,footwear,126.54,2026-05-12,1,0
RET-900241,CUST-11672,accessories,78.77,2026-04-01,1,0
RET-901290,CUST-10212,footwear,23.51,2026-05-08,1,0
RET-901542,CUST-12615,footwear,83.54,2026-04-10,1,0
RET-902647,CUST-10735,accessories,167.46,2026-05-03,1,0
RET-901477,CUST-11907,accessories,37.06,2026-05-09,1,0
RET-901851,CUST-11145,footwear,169.83,2026-04-14,1,0
RET-900476,CUST-11589,footwear,29.36,2026-04-22,1,0
RET-900526,CUST-13377,footwear,103.72,2026-04-08,1,0
RET-901174,CUST-12738,footwear,80.07,2026-04-27,1,0
RET-900556,CUST-10592,apparel,19.89,2026-04-13,1,0
RET-901684,CUST-10325,accessories,81.41,2026-04-20,1,0
RET-900663,CUST-12246,accessories,22.75,2026-04-05,1,0
RET-901134,CUST-12539,apparel,17.35,2026-04-23,1,0
RET-901468,CUST-12553,apparel,72.21,2026-05-10,1,0
RET-901125,CUST-10304,footwear,31.53,2026-04-02,1,0
RET-901146,CUST-12380,apparel,84.72,2026-05-05,1,0
RET-900142,CUST-12766,accessories,73.28,2026-05-08,1,0
RET-902141,CUST-11155,apparel,18.07,2026-04-22,1,0
RET-901074,CUST-11525,accessories,88.73,2026-04-05,1,0
RET-901514,CUST-10154,accessories,73.75,2026-04-12,1,0
RET-902276,CUST-10475,footwear,210.64,2026-04-26,1,0
RET-901066,CUST-11927,accessories,84.72,2026-04-03,1,0
RET-900857,CUST-12656,apparel,42.8,2026-04-09,1,0
RET-900062,CUST-10148,accessories,37.31,2026-05-11,1,0
RET-901476,CUST-11013,footwear,77.08,2026-04-20,1,0
RET-900112,CUST-10446,footwear,61.87,2026-04-23,1,0
RET-901521,CUST-11952,apparel,46.95,2026-04-13,1,0
RET-900839,CUST-10396,accessories,35.14,2026-04-01,1,0
RET-901387,CUST-12326,apparel,80.86,2026-04-25,1,0
RET-902594,CUST-11462,apparel,68.83,2026-05-04,1,0
RET-900954,CUST-13622,apparel,19.44,2026-05-02,1,0
RET-900923,CUST-11572,footwear,54.77,2026-04-09,1,0
RET-900467,CUST-10142,apparel,64.92,2026-04-08,1,0
RET-902675,CUST-11206,apparel,184.9,2026-05-02,1,0
RET-900418,CUST-13070,accessories,18.37,2026-04-28,1,0
RET-902719,CUST-11879,footwear,468.72,2026-04-22,1,0
RET-900501,CUST-11878,apparel,21.45,2026-04-25,1,0
RET-900270,CUST-10217,footwear,38.25,2026-04-04,1,0
RET-902549,CUST-13729,accessories,12.86,2026-04-29,1,0
RET-902304,CUST-10421,footwear,79.51,2026-04-04,1,0
RET-900511,CUST-12434,accessories,85.65,2026-05-12,1,0
RET-902495,CUST-10326,apparel,33.03,2026-04-03,1,0
RET-902263,CUST-11024,accessories,45.41,2026-05-04,1,0
RET-900671,CUST-11950,accessories,66.45,2026-05-12,1,0
RET-901602,CUST-11761,footwear,66.71,2026-04-22,1,0
RET-901453,CUST-13624,apparel,122.87,2026-04-25,1,0
RET-902066,CUST-11768,apparel,21.57,2026-04-25,1,0
RET-901261,CUST-10124,footwear,271.82,2026-05-08,1,0
RET-900557,CUST-11311,footwear,66.43,2026-05-06,1,0
RET-900736,CUST-12660,footwear,63.98,2026-04-11,1,0
RET-900219,CUST-12983,footwear,62.7,2026-04-24,1,0
RET-900787,CUST-12742,footwear,167.18,2026-04-21,1,0
RET-902241,CUST-12690,accessories,34.72,2026-05-12,1,0
RET-902222,CUST-12924,footwear,45.99,2026-04-04,1,0
RET-901076,CUST-12173,accessories,135.4,2026-04-12,1,0
RET-900738,CUST-10955,apparel,61.18,2026-04-08,1,0
RET-901004,CUST-11014,footwear,62.49,2026-05-05,1,0
RET-901221,CUST-12028,accessories,67.83,2026-04-23,1,0
RET-901332,CUST-11651,accessories,25.65,2026-04-27,1,0
RET-902081,CUST-13658,apparel,38.23,2026-05-02,1,0
RET-900700,CUST-12205,accessories,90.9,2026-04-28,1,0
RET-901693,CUST-13707,apparel,58.69,2026-04-05,1,0
RET-901768,CUST-12965,apparel,25.52,2026-04-08,1,0
RET-900312,CUST-10603,accessories,43.21,2026-04-20,1,0
RET-900347,CUST-13190,apparel,134.24,2026-04-18,1,0
RET-901798,CUST-12605,footwear,111.19,2026-04-02,1,0
RET-900866,CUST-11023,accessories,34.8,2026-04-26,1,0
RET-901054,CUST-10077,apparel,110.65,2026-05-12,1,0
RET-901999,CUST-13601,apparel,49.8,2026-05-08,1,0
RET-901992,CUST-11565,apparel,219.69,2026-05-09,1,0
RET-902391,CUST-12156,apparel,8.12,2026-04-12,1,0
RET-902150,CUST-12636,footwear,100.11,2026-04-14,1,0
RET-902080,CUST-12238,footwear,25.12,2026-04-18,1,0
RET-900649,CUST-10788,apparel,9.52,2026-04-12,1,0
RET-900131,CUST-10439,accessories,269.97,2026-05-06,1,0
RET-901189,CUST-13730,apparel,29.47,2026-04-15,1,0
RET-901106,CUST-10071,footwear,98.55,2026-05-04,1,0
RET-902113,CUST-10543,apparel,29.22,2026-04-08,1,0
RET-902463,CUST-11386,apparel,13.56,2026-04-15,1,0
RET-902443,CUST-10977,apparel,76.16,2026-05-02,1,0
RET-901715,CUST-10911,apparel,63.7,2026-04-06,1,0
RET-900993,CUST-11084,apparel,64.61,2026-04-05,1,0
RET-900093,CUST-12833,apparel,107.74,2026-05-03,1,0
RET-900972,CUST-11893,accessories,35.83,2026-04-13,1,0
RET-901200,CUST-13393,footwear,122.34,2026-05-12,1,0
RET-900221,CUST-13327,footwear,38.37,2026-04-08,1,0
RET-902456,CUST-10698,accessories,37.59,2026-05-08,1,0
RET-901799,CUST-10644,footwear,88.55,2026-04-30,1,0
RET-900810,CUST-10443,footwear,24.92,2026-04-27,1,0
RET-900286,CUST-12382,accessories,42.91,2026-04-30,1,0
RET-900581,CUST-11161,apparel,26.78,2026-04-05,1,0
RET-901427,CUST-13969,apparel,35.03,2026-05-01,1,0
RET-901021,CUST-10971,accessories,137.76,2026-04-13,1,0
RET-900079,CUST-11032,apparel,105.2,2026-05-08,1,0
RET-900537,CUST-12823,accessories,175.55,2026-05-10,1,0
RET-900060,CUST-11608,accessories,76.77,2026-05-09,1,0
RET-901256,CUST-11207,apparel,43.33,2026-04-19,1,0
RET-902558,CUST-10982,footwear,90.62,2026-05-01,1,0
RET-902320,CUST-10049,accessories,48.72,2026-04-28,1,0
RET-900015,CUST-12406,accessories,51.53,2026-05-07,1,0
RET-900048,CUST-11083,accessories,29.27,2026-05-05,1,0
RET-900984,CUST-13826,footwear,84.7,2026-04-16,1,0
RET-901687,CUST-10504,apparel,78.36,2026-04-08,1,0
RET-901530,CUST-12388,accessories,26.31,2026-04-03,1,0
RET-901886,CUST-12461,accessories,46.23,2026-04-03,1,0
RET-902552,CUST-13166,apparel,114.49,2026-04-28,1,0
RET-900184,CUST-12298,apparel,92.69,2026-04-16,1,0
RET-901507,CUST-13470,footwear,62.7,2026-05-01,1,0
RET-902307,CUST-10814,accessories,23.65,2026-05-05,1,0
RET-902289,CUST-10930,accessories,63.35,2026-05-05,1,0
RET-901658,CUST-13814,footwear,97.47,2026-04-09,1,0
RET-901745,CUST-10767,footwear,45.65,2026-05-05,1,0
RET-901641,CUST-12173,accessories,22.64,2026-05-11,1,0
RET-902006,CUST-11147,accessories,11.24,2026-04-18,1,0
RET-900362,CUST-12456,apparel,131.42,2026-04-11,1,0
RET-900463,CUST-13113,apparel,23.92,2026-04-07,1,0
RET-902580,CUST-10258,apparel,75.07,2026-05-12,1,0
RET-902034,CUST-12627,footwear,36.74,2026-04-19,1,0
RET-900236,CUST-13969,accessories,61.17,2026-04-12,1,0
RET-900646,CUST-12994,apparel,79.09,2026-04-02,1,0
